id;mark;
A02079;SCAR, SHOULDER, LEFT - SURGICAL;
A02079;SCAR, LEG, RIGHT - SURGICAL;
A02079;SCAR, CHEST - SURGICAL;
A02088;TATTOO, ARM, RIGHT - \"KON-TIKI\"L;
A02088;TATTOO, FOREARM, RIGHT - \"SYBELE\",\"LARRY\"LOVE;
A02088;TATTOO, FOREARM, LEFT - \"I LOVE SYBELE\";
A02099;SCAR, ABDOMEN - 5\"LG;
A02133;NEEDLE MARKS, ARM, LEFT - NEEDLE MARKS ARM, LEFT;
A02133;SCAR, EYEBROW, RIGHT (EYE AREA - SCAR EYEBROW, RIGHT;
A02133;SCAR, BACK - SCAR BACK;
A02133;SCAR, ARM, RIGHT - SCAR ARM, RIGHT;
A02133;NEEDLE MARKS, ARM, RIGHT - NEEDLE MARKS ARM, RIGHT;
A02232;SCAR, BACK - SCAR BACK;
A02232;SCAR, LEG, LEFT - SCAR LEG, LEFT;
A02232;SCAR, LEG, RIGHT - SCAR LEG, RIGHT;
A02232;SCAR, HEAD, NONSPECIFIC - SCAR TOP OF HEAD;
A02232;SCAR, CHEST - SCAR CHEST;
A02244;SCAR, CHEEK (FACE), LEFT -;
A02244;SCAR, ARM, LEFT - SCAR ARM, LEFT;
A02244;TATTOO, ARM, LEFT UPPER - \"ALMIGHTY BPS NATION\",PYRAMID...;
A02270;TATTOO, CHEST - ROSES;
A02270;SCAR, ARM, LEFT - SCAR ARM, LEFT;
A02270;TATTOO, ARM, RIGHT - CROWN, \"TURKEY SLIM\";
A02270;TATTOO, ARM, LEFT - BRICK WALL W/BILLBOARD \"BAMMA\";
A02306;SCAR, ARM, LEFT - SCAR ARM, LEFT;
A02306;TATTOO, ARM, LEFT - \"MUFFIN\"/\"EARELIN\"/\"DONTA\"/STONE;
A02306;TATTOO, ARM, RIGHT - \"ALMIGHTY NATION\"/PYRAMID/\"BPS\";
A02306;SCAR, ARM, RIGHT - SCAR ARM, RIGHT;
A02306;TATTOO, FOREARM, RIGHT - \"PAULA\";
A02312;NONE RECORDED;
A02350;SCAR, CHEST - MIDDLE OF CHEST APPROX 3\" LONG;
A02350;SCAR, FACE, NONSPECIFIC - APPORX 1/2\" MIDDLE OF FOREHEAD;
A02376;TATTOO, CHEST - \"LYNETTE\" \"YONVANN\";
A02376;TATTOO, ARM, RIGHT - \"TONY\";
A02376;SCAR, KNEE, LEFT - SCAR KNEE, LEFT;
A02436;SCAR, NECK - SCAR NECK;
A02436;SCAR, ARM, LEFT - SCAR ARM, LEFT;
A02436;SCAR, WRIST, LEFT - SCAR WRIST, LEFT;
A06045;SCAR, ARM, RIGHT -;
A06045;TATTOO, FOREARM, LEFT - \"C/Z\"/\"BAL\";
A06045;SCAR, KNEE, LEFT -;
A06264;TATTOO, ARM, RIGHT - 6 PT. STAR, 2 FORKS, DEVIL;
A06264;TATTOO, ARM, LEFT - B.D.N., DEVIL;
A06264;TATTOO, ARM, RIGHT UPPER - 2 FORKS, MASS FACE, HAT;
A06342;SCAR, ABDOMEN - GALLBLADDER SURGERY;
A08064;NONE RECORDED;
A08086;TATTOO, OTHER - TATTOO OTHER;
A08086;TATTOO, HAND, LEFT - \"LOVE\";
A08086;TATTOO, ARM, RIGHT - SWASTIKA,NANCY,BOW WOW,FUCK,NCP;
A08086;TATTOO, ARM, LEFT - CHIP,LOVE MOM,DOROTHY,LOVE,YOU;
A08086;SCAR, CHEEK (FACE), LEFT - SCAR CHEEK, LEFT;
A08095;SCAR, SIDE, LEFT - SCAR SIDE, LEFT;
A08141;TATTOO, FOREARM, RIGHT - \"TC\"/\"AG\";
