id;mark;
M10013;TATTOO, ARM, RIGHT UPPER - CHRISTINA;
M10013;TATTOO, HAND, RIGHT - LIL  LHND:REDD;
M10013;TATTOO, ARM, LEFT UPPER - AKIERA;
M10013;TATTOO, FOREARM, LEFT - DEMETRIUS;
M10013;TATTOO, CHEST - DESTINY;
M10026;TATTOO, WRIST, LEFT - \"NAY NAY\";
M10026;TATTOO, FOREARM, LEFT - \"MOB\";
M10026;TATTOO, WRIST, RIGHT - \"KAT\";
M10026;TATTOO, FOREARM, RIGHT - \"KEYZ\";
M10026;TATTOO, BACK - \"RIP LIL KIETH\", 4-10-10, 6-1-10;
M10042;TATTOO, FOREARM, RIGHT - MARVA;
M10042;TATTOO, ARM, LEFT UPPER - LOL, NO FUNNY SHIT;
M10042;SCAR, BACK - LARGE SURGICAL SCAR;
M10043;TATTOO, ARM, RIGHT UPPER - TINA;
M10043;TATTOO, FOREARM, RIGHT - PITCHFORK, SIX PT STAR;
M10043;TATTOO, NECK - TINA;
M10043;TATTOO, ARM, LEFT UPPER - CHGO SKYLINE SIX PT STAR BULLS;
M10055;TATTOO, ARM, LEFT UPPER - \"RIP VICK\", CROSS;
M10055;PIERCED EARS - L EAR DOUBLE PIERCED;
M10056;TATTOO, CHEST - \"RIP Hulio\";
M10056;TATTOO, FOREARM, RIGHT - MURDA;
M10056;TATTOO, FOREARM, LEFT - BLOCK;
M10066;TATTOO, HAND, LEFT - \"GERALD\";
M10066;TATTOO, HAND, RIGHT - \"DANIYAH\";
M10066;TATTOO, FOREARM, LEFT - \"LIL G\";
M10066;TATTOO, NECK - \"RIP GRANNY\",\"RIP EMO\";
M10075;SCAR, CHEST -;
M10075;SCAR, EYEBROW, LEFT (EYE AREA) -;
M10075;TATTOO, ARM, LEFT - CROSS W/JESUS,\"HE DIED FOR ME...;
M10075;TATTOO, ARM, RIGHT - CROSS W/RIP WILLIAM;
M10077;TATTOO, ARM, LEFT - \"MOB\",\"FEAR NONE\";
M10077;TATTOO, LEG, RIGHT - TAZ DEVIL;
M10077;TATTOO, ARM, RIGHT - \"TRUST \";
M10077;TATTOO, BACK - \"NETALIA\";
M10082;TATTOO, ARM, LEFT UPPER - HITMAN/RFA-DEVIL TALKS,LION;
M10082;TATTOO, NECK - NURSE RIDING A CRASHDUMMY;
M10082;TATTOO, NECK - H/ BULLETT HOLES/DOG FOR LIFE;
M10082;TATTOO, ABDOMEN - CROWN W/HEART \"WHEN INJUSTICE BE;
M10082;TATTOO, FOREARM, RIGHT - KATE W/VOID,NURSE, ROSES,MONEY;
M10086;TATTOO, FOREHEAD - \"RIP FRED\", 3 STARS, \"SC\";
M10086;TATTOO, HAND, LEFT - \"MOB\", \"TRAPSTAR\", MONEYBAG;
M10086;SCAR, ARM, LEFT UPPER - SCAR 4\"  (INNER);
M10086;BIRTHMARK, OTHER - DARK SPOT (RS OF CHEST);
M10088;NONE RECORDED;
M10108;TATTOO, ARM, LEFT - TRIBAL;
M10114;NONE RECORDED;
M10125;TATTOO, ARM, LEFT UPPER - KINGS;
M10125;TATTOO, BACK - SOUTH SIDE,LION W/5PT CROWN;
M10126;SCAR, FOREHEAD -;
M10126;SCAR, FOREARM, LEFT - MULTIPLE SCARS;
M10130;TATTOO, ARM, RIGHT - \"fuck friends\"with two guns;
M10134;TATTOO, FOREARM, RIGHT - HOT\; FLAMES;
M10134;TATTOO, FOREARM, LEFT - BOY\; FLAMES;
M10149;SCAR, FOREARM, LEFT -;
M10154;TATTOO, ARM, RIGHT - \"RAY\";
M10159;NONE RECORDED;
M10175;TATTOO, FOREARM, LEFT - ARIES;
M10175;TATTOO, FOREARM, RIGHT - SKULL;
M10176;TATTOO, FOREARM, RIGHT - F HOLER;
M10176;TATTOO, FOREARM, LEFT - PARACHUTE PIN;
M10176;TATTOO, BACK - OCTOPUSS;
M10182;NONE RECORDED;
M10204;TATTOO, HAND, RIGHT - RIP SHANNON, T.P.;
M10204;TATTOO, ARM, RIGHT - TB;
M10204;TATTOO, WRIST, RIGHT - SELF;
M10220;TATTOO, NECK - HEART;
M10220;TATTOO, FOREARM, RIGHT - \"RONTE\";
M10220;TATTOO, FOREARM, LEFT - \"RHANIAH\";
M10222;TATTOO, ARM, LEFT - BOY;
M10222;TATTOO, SHOULDER, RIGHT - MALESA;
M10222;TATTOO, ARM, RIGHT - FLY;
M10224;NONE RECORDED;
M10226;SCAR, FACE, NONSPECIFIC - MULTIPLE;
M10226;TATTOO, ARM, LEFT UPPER - SKULL;
M10228;NONE RECORDED;
M10229;SCAR, FOREARM, LEFT - BURNS ON BOTH ARMS FROM FINGER T;
M10229;TATTOO, CHEST - \"CRYSTAL\";
M10230;SCAR, BACK -;
M10230;SCAR, ABDOMEN -;
M10230;SCAR, ARM, LEFT UPPER -;
M10230;SCAR, ARM, RIGHT UPPER -;
M10233;NONE RECORDED;
M10234;NONE RECORDED;
M10243;NONE RECORDED;
M10251;SCAR, EYEBROW, LEFT (EYE AREA) -;
M10251;SCAR, KNEE, LEFT -;
M10255;NONE RECORDED;
M10260;TATTOO, CHEST - \"LYNAA\";
M10261;TATTOO, ARM, RIGHT UPPER - SCROLL/PRAY HNDS/MAMA/BOD G;
M10261;TATTOO, NECK - RITA;
M10261;TATTOO, FOREARM, RIGHT - RIP MINI;
M10262;NONE RECORDED;
M10264;TATTOO, ARM, LEFT - HATE 5PT STAR LANELL 4CH DICE $;
M10264;TATTOO, CHEEK (FACE), LEFT - 5PT STAR LIVE FAST FLAG TAS;
M10264;TATTOO, FOREARM, LEFT - CLOWN RUN THAT NONE LATASHA H;
M10264;TATTOO, ARM, RIGHT UPPER - LOVE C 100S TRUST MOB COREY HTS;
M10264;TATTOO, FOREARM, RIGHT - 4CH CARDS DICE CASH RULES 90 BBY;
M10265;NONE RECORDED;
M10266;TATTOO, FOREARM, RIGHT - GRIM REAPER;
M10266;TATTOO, NECK - 5 PT STAR;
M10272;TATTOO, OTHER - LOYALTY OVER ROYALTY;
M10272;TATTOO, ARM, LEFT - \"BRENDA\";
M10272;TATTOO, CHEST - \"L\" \"K\";
M10274;TATTOO, FOOT, RIGHT - FUCK\CHEST-\"LOVE BRITTNEY\";
M10274;TATTOO, ARM, LEFT - SUN, \"LIVE\"CLOWN ROSE;
M10274;TATTOO, BACK - \"KANGLES\";
M10274;TATTOO, ARM, RIGHT UPPER - \"LIFE\";
M10274;TATTOO, FOOT, LEFT - FEAR/L LEG-POT PLANT/CROSS;
M10298;TATTOO, ARM, RIGHT - SEARS TOWER PORTRAIT \"CHICAGO\";
M10298;TATTOO, ARM, LEFT - 365;
M10298;TATTOO, ARM, RIGHT - TOMBSTONE;
M10299;SCAR, ARM, LEFT - SCAR,\"RIP NANA\";
M10299;TATTOO, WRIST, RIGHT - \"LOVE BY NONE, HATED BY ALL;
M10299;TATTOO, NECK - \"TAI\",CITY SKYLINE;
M10299;TATTOO, HAND, RIGHT - \"HOT\"/LFA-\"GOD\",\"GOONS ON DECK\";
M10299;TATTOO, HAND, LEFT - \"BOYS\" \"80\"S BABY\" SCROLLW/PRAYR;
M10305;TATTOO, HAND, RIGHT - \"RIP RUBY\";
M10305;TATTOO, HAND, LEFT - \"RIP SYLVIA\";
M10305;SCAR, BACK - LARGE SCAR ON BACK FROM TATTOO R;
M10305;TATTOO, WRIST, RIGHT - RIP RUBY;
M10305;TATTOO, BACK - CROSS;
M10311;NONE RECORDED;
M10320;SCAR, HEAD, NONSPECIFIC - SCAR ON BACK OF HEAD;
M10320;SCAR, HEAD, NONSPECIFIC - SCAR ON FACE;
M10320;TATTOO, ARM, RIGHT - 2 SKULLS, 4 CALENDERS, GRIM REEP;
M10320;TATTOO, ARM, RIGHT UPPER - \"FUCK\";
M10320;TATTOO, WRIST, LEFT - \"AMOR\";
M10325;TATTOO, FOREARM, RIGHT - FADED CROSS;
M10326;TATTOO, HAND, LEFT - RING FINGER\; \"REDD\";
M10326;TATTOO, ARM, LEFT UPPER - TRIBAL ART;
M10326;TATTOO, SHOULDER, RIGHT - \"TOMMY\";
M10327;SCAR, LEG, RIGHT -;
M10329;TATTOO, FINGER(S), LEFT HAND - FAT;
M10329;TATTOO, FOREARM, RIGHT - BRICKS;
M10329;TATTOO, NECK - \"FAITH\"RIP MOE,MUSIC NOTES;
M10329;TATTOO, ARM, RIGHT UPPER - \"RIP JOCK\" CROSS;
M10329;TATTOO, CHEST - WINGS;
M10333;TATTOO, FOREARM, RIGHT - \"JUGGALO\";
M10333;TATTOO, ARM, LEFT UPPER - HATCHET MAN;
M10333;TATTOO, BACK - CROSS, \"DARK LOTUS\";
M10336;TATTOO, BACK - ANGEL;
M10336;TATTOO, ARM, RIGHT UPPER - FAMILY BEFORE ALL;
M10336;TATTOO, BACK - \"KIERSTYN MY HEART\",HORSE,WOLF;
M10350;NONE RECORDED;
M10351;NONE RECORDED;
M10352;TATTOO, CHEST - STARS, STAR FLAMES;
M10352;TATTOO, HAND, LEFT - HATE;
M10352;TATTOO, HAND, RIGHT - LOVE;
M10352;TATTOO, FOREARM, LEFT - TOUNSE, \"LOUIS, VITTON, BRAND\";
M10352;TATTOO, NECK - SOX;
M10356;TATTOO, FOREARM, LEFT - \"JAVIAN,DACH\";
M10356;TATTOO, CHEST - \"DACH\";
M10356;TATTOO, FOREARM, RIGHT - \"JAELA,DACH\";
M10356;TATTOO, ABDOMEN - \"HUSTLE\";
M10356;TATTOO, NECK - \"GODS FAVORITE\";
M10365;TATTOO, ARM, RIGHT - \"MARK\";
M10365;TATTOO, ARM, LEFT - TOMBSTONE, PRAYING HANDS;
M10366;TATTOO, ARM, RIGHT - \"JUDITH B\" MONEY BAGS  FINGER:U;
M10366;TATTOO, ARM, LEFT - PRAYING HANDS, MONEY BAGS;
M10366;TATTOO, ARM, LEFT UPPER - CHICAGO BLACKHAWKS logo, State o;
M10366;TATTOO, FOREARM, RIGHT - CHICAGO BULLS logo,  CHICAGO CUB;
M10379;TATTOO, FOREARM, RIGHT - PRAYING HANDS W/MONEY;
M10380;NONE RECORDED;
M10384;TATTOO, HAND, RIGHT - \"RIP MILK\";
M10384;TATTOO, ARM, LEFT UPPER - \"MARQUELL\" 6 PT STAR;
M10384;TATTOO, ARM, RIGHT - \"NENE\"ANGELA\",STARS;
M10393;TATTOO, ARM, RIGHT - FLAG/GUN, PALESTAIN FLAG;
M10403;TATTOO, ARM, LEFT UPPER - GMD;
M10403;TATTOO, ARM, RIGHT UPPER - SKULL;
M10406;NONE RECORDED;
M10407;NONE RECORDED;
M10417;TATTOO, BACK - \"DAMERION\";
M10417;TATTOO, FOREARM, LEFT - RIP EASTER;
M10417;TATTOO, HAND, RIGHT - 6;
M10417;TATTOO, HAND, LEFT - 4;
M10417;TATTOO, ARM, RIGHT UPPER - LUIGI,RIP GOONIE;
M10419;TATTOO, NECK - back of neck \"ne ne\";
M10419;TATTOO, HAND, LEFT - \"boo\"\;
M10419;TATTOO, ARM, LEFT - cross& tombstone;
M10419;TATTOO, FOREARM, LEFT - CITY, CROSS RIP KEVIN, BOO;
M10419;TATTOO, NECK - ANDREA DEVION;
M10431;TATTOO, ARM, RIGHT - 47\; SWORD\; HEART\; DIA\; CLUB);
M10431;TATTOO, ARM, LEFT - WOMAN\; HANDS\; KIANA\; CROWN\; $;
M10431;TATTOO, LEG, LEFT - STK\; HALO (L HND: VII);
M10431;TATTOO, CHEST - DAMENVILLE (NECK: BLACK);
M10439;TATTOO, ANKLE, RIGHT - \"MOB\";
M10439;TATTOO, LEG, RIGHT - Wings, (L) leg, Wings;
M10439;TATTOO, ARM, RIGHT UPPER - 2 Skulls w/ dragon;
M10439;TATTOO, CHEST - Skull, Mechanical heart;
M10458;TATTOO, ARM, RIGHT - BLOCK,CROSS,RIP TINY SHARVON;
M10458;TATTOO, ARM, LEFT - MOB,NAKED LADY,BURNA,$,;
M10458;TATTOO, CHEST - ALICIA,;
M10459;TATTOO, FOREARM, RIGHT - SKULL/ GUN\;LHND:04-08-06-08-16-;
M10459;TATTOO, HAND, LEFT - \"DORTHY JACOB\"WINGS,HALO\;LLEG:CR;
M10459;TATTOO, LEG, RIGHT - CROSS/BLESSED 2,4,7\;REYE:1DOT;
M10459;TATTOO, CHEST - LION COVERED UP OLD TAT\;REYE\;;
M10459;TATTOO, WRIST, LEFT - ROSE,BARBARA,JOE\;LEAR:ROYALS;
M10461;TATTOO, FOREARM, LEFT - SCROLL W/DO ALL THINGS THRU GOD;
M10461;TATTOO, ARM, LEFT UPPER - SCORPION;
M10461;TATTOO, FOREARM, RIGHT - CROSS W/LORETTA CARA;
M10461;TATTOO, FOREARM, LEFT - WHO STRENGHTENS ME CHANEL;
M10462;NONE RECORDED;
M10463;TATTOO, FOREARM, LEFT - \"RIP EDUB\";
M10465;TATTOO, FOREARM, RIGHT - BRAVEHEARTED R EYE 2 TEAR DROP;
M10465;TATTOO, HAND, RIGHT - \"CITAS\" TAT L HND \"BOY\";
M10465;TATTOO, ABDOMEN - \"CASH MONEY OVER EVERYTHING\";
M10465;TATTOO, FOREARM, LEFT - BEAST L EYE 1 TEAR,SKEEZWORLD,73;
M10466;TATTOO, ARM, RIGHT - GORILLA/PITBULL/GRIM REAPER ANGI;
M10466;TATTOO, LEG, LEFT - CROWN \"RUDE\" PITCHFORK/DOWN;
M10466;TATTOO, ARM, LEFT - SKULLW/CROSSBONES \"GOOD LUCK\";
M10466;TATTOO, CHEST - GRIM REAPER/SARAH W/HEART RUDY;
M10466;TATTOO, ARM, LEFT - AMOR/CHELSEY/AMBER/HEART W/ANGIE;
M10468;TATTOO, HAND, RIGHT - FLAMES\;\"SIDE\";
M10468;TATTOO, HAND, LEFT - FLAMES\;\"EAST\";
M10468;TATTOO, FOREARM, RIGHT - SKULL ,\"BAR-NONE\";
M10468;TATTOO, ARM, RIGHT UPPER - \"JESSICA\";
M10471;TATTOO, ABDOMEN - \"100% real nigga\";
M10471;TATTOO, FINGER(S), RIGHT HAND - 'BMKS' 'RMST' 3 DOTS, BRICKS;
M10471;TATTOO, ARM, RIGHT - 'LOVED BY FEW HATED BY MANY';
M10471;TATTOO, WRIST, RIGHT - 'ELIJAH' (R ARM: MARAJUANA TAT);
M10471;TATTOO, ARM, LEFT - TWISTED FORK-GANG SYMB. \"LL\";
M10474;TATTOO, WRIST, LEFT - BROS BEFORE HOES (ARMS/LIVE-LIFE;
M10474;TATTOO, ARM, RIGHT UPPER - JOKER,REGGIE 4-26-91;
M10474;TATTOO, ARM, LEFT UPPER - JOKER,\"HILL\" (CHEST/TROUBLED MAN;
M10474;TATTOO, HAND, LEFT - DICE, 5PT STAR, ROCKY;
M10474;TATTOO, FOREARM, RIGHT - REAPER, HAND W/PISTOL,NAUT. STAR;
M10479;NONE RECORDED;
M10485;TATTOO, WRIST, LEFT - \"FLOYD JR\";
M10485;TATTOO, NECK - VENICE III;
M10485;TATTOO, FINGER(S), LEFT HAND - III(R ARM-LADY\"KELETHA\");
M10492;SCAR, LEG, LEFT - GSW;
M10492;TATTOO, FOREARM, RIGHT - CONLEY;
M10492;TATTOO, FOREARM, LEFT - \"IN LOVING MEMORY GRANDMA\" CROSS;
M10493;TATTOO, HAND, RIGHT - PITCHFORK;
M10493;TATTOO, FOREARM, RIGHT - MOOKIE    RHND/GIFTED;
M10493;TATTOO, ARM, LEFT UPPER - \"LOYALTY\";
M10493;TATTOO, CHEST - ANGEL W/DOVES;
M10493;TATTOO, ARM, RIGHT UPPER - \"BLESSED\";
M10503;TATTOO, ARM, RIGHT - \"G BALL\";
M10504;TATTOO, FOREARM, LEFT - \"RIP LANCE\";
M10508;TATTOO, FOREARM, RIGHT - PAW PRINT, DOVE;
M10508;TATTOO, BACK - DEVIL WINGS/URA-$, MASK;
M10508;TATTOO, WRIST, RIGHT - \"ENVY\"/LLEG-TRIBAL/RLEG-2 DOVES;
M10508;TATTOO, FOREARM, LEFT - CROSS,\"IN LOVING MEM.MI ABUELO\";
M10508;TATTOO, ARM, LEFT UPPER - SMILING WOMAN,HOLDING GUN,CAP,$;
M10511;TATTOO, ARM, RIGHT UPPER - MOB, 5PT STAR W/\"T\", \"JANII\";
M10511;TATTOO, ARM, LEFT UPPER - \"JOHNSON JA\" W/ FOOTPRINTS;
M10511;TATTOO, ARM, RIGHT - SLEEVED OUT;
M10511;TATTOO, HAND, RIGHT - \"TMR\";
M10511;TATTOO, ARM, LEFT UPPER - SARGE W/STARS;
M10513;NONE RECORDED;
M10515;NONE RECORDED;
M10516;TATTOO, HAND, RIGHT - good;
M10516;TATTOO, HAND, LEFT - night;
M10516;TATTOO, ARM, LEFT - joker, loyalty;
M10516;TATTOO, ARM, RIGHT - joker,respect;
M10516;TATTOO, CHEST - rip cory;
M10518;TATTOO, LEG, RIGHT - DRAGON;
M10518;TATTOO, LEG, LEFT - SKULL W/JESTER HAT;
M10524;TATTOO, ARM, RIGHT UPPER - SPIKED 8 BALL;
M10525;TATTOO, ARM, RIGHT UPPER - \"L.B.\";
M10529;TATTOO, ARM, RIGHT - angel demon, posiden, ttg, angel;
M10529;TATTOO, BACK - spart helmet;
M10529;TATTOO, ARM, LEFT - avin, dove and money, writing, s;
M10529;TATTOO, HAND, LEFT - \"S\" ON RIGHT\"D\" ON LEFT;
M10532;TATTOO, ARM, LEFT - PRAYING HANDS;
M10532;TATTOO, ARM, RIGHT - JESUS;
M10532;TATTOO, HAND, RIGHT - \"ROBERTA\";
M10532;TATTOO, HAND, LEFT - \"MARQUIA\";
M10534;SCAR, ABDOMEN -;
M10534;SCAR, LEG, RIGHT - UPPER;
M10534;TATTOO, FOREARM, LEFT - \"JDH\";
M10534;TATTOO, BACK - CROSS;
M10541;TATTOO, BACK - \"CAREY\";
M10541;TATTOO, ARM, RIGHT UPPER - CROSS W/SNAKE;
M10541;TATTOO, FOREARM, RIGHT - \"BROOKE\";
M10547;TATTOO, CHEST - GARBRINGER GREEN;
M10547;TATTOO, NECK - \"RIP BANKHEAD\", A-1 W/FIVE PT ST;
M10548;TATTOO, FOREARM, RIGHT - ACE;
M10548;TATTOO, ABDOMEN - DONT FORGET TO SWALLOW;
M10551;NONE RECORDED;
M10552;NONE RECORDED;
M10556;NONE RECORDED;
M10561;TATTOO, ARM, LEFT UPPER - TINA;
M10561;SCAR, FACE, NONSPECIFIC -;
M10565;TATTOO, ARM, RIGHT - CROSS;
M10565;TATTOO, CHEST - TOPHAT,PLAYBOY;
M10566;TATTOO, FOREARM, RIGHT - SCORPION;
M10566;TATTOO, LEG, RIGHT - \"MEXICO\";
M10570;TATTOO, CHEST - FIVE POINT CROWN \"C\" \"LK\" \"24TH\";
M10570;TATTOO, WRIST, LEFT - FIVE DOTS PRAYING HANDS MOUSEY;
M10572;TATTOO, FOREHEAD - PITCHFORK HORN;
M10572;TATTOO, HAND, LEFT - HATE PITCHFORK ADRIAN KRYSTAL;
M10572;TATTOO, ANKLE, RIGHT - 6 DOTS PITCHFORK;
M10572;TATTOO, HAND, RIGHT - LOVE PITCHFORK 6 DOTS \"H\" 18711;
M10572;TATTOO, FOREARM, RIGHT - RIP 6 POINT STAR \"SD\" HORNS;
M10578;TATTOO, CHEST - GISSELLE TERESA MIGUEL;
M10578;TATTOO, ARM, RIGHT UPPER - CHANTALY;
M10583;TATTOO, FOREARM, LEFT - UNSTOPPABLE/FLAMES;
M10583;TATTOO, ARM, LEFT - GRIM REAPER;
M10583;TATTOO, FOREARM, RIGHT - UNTOUCHABLE/FLAMES;
M10583;TATTOO, ARM, RIGHT - TEK-NINE/MAN W/HOOD;
M10586;SCAR, ARM, RIGHT -;
M10590;TATTOO, ARM, RIGHT - FLORA \"GODS\" WINGS \"RIP WAYNE\";
M10590;TATTOO, ARM, LEFT - \"SON\"\"NO NUTS NO GLORY\"\"RE RE\";
M10590;TATTOO, HAND, RIGHT - \"CYNTHIA\";
M10590;TATTOO, CHEST - 6 PT 74;
M10596;TATTOO, ARM, RIGHT - CROSS \"EDWARD\" \"RIP\";
M10596;TATTOO, ABDOMEN - \"LIFE FOR DEATH\";
M10596;TATTOO, ARM, LEFT - \"GABBY\";
M10596;TATTOO, CHEST - \"5 LIL TONEO,7\";
M10597;NONE RECORDED;
M10599;TATTOO, HAND, LEFT - LK/12-11/5 DOTS;
M10599;TATTOO, LEG, LEFT - (FOOT)5PT CROWN;
M10599;TATTOO, CHEST - MASTER/5PT CROWN;
M10601;SCAR, CHIN -;
M10609;TATTOO, HAND, RIGHT - M    LHND - B;
M10609;TATTOO, FOREARM, LEFT - \"LOVE\";
M10609;TATTOO, FOREARM, RIGHT - CROSS RIP GERALD   \"NO\";
M10616;TATTOO, HAND, RIGHT - $;
M10616;SCAR, FACE, NONSPECIFIC - ABOVE RIGHT EYE;
M10616;TATTOO, ARM, LEFT UPPER - SPOOK;
M10618;SCAR, FACE, NONSPECIFIC - scars on face.  Under eye and to;
M10618;TATTOO, HAND, RIGHT - \"Rayanna\";
M10619;NONE RECORDED;
M10620;TATTOO, ARM, LEFT - MARK;
M10620;TATTOO, ARM, RIGHT - BLUESETTE/HAPPY CLOWN/SAD CLOWN;
M10620;TATTOO, NECK - TRIBAL;
M10623;TATTOO, FOREARM, RIGHT - \"RIP SUCKA\";
M10623;TATTOO, NECK - \"FEEL MY PAIN\",79;
M10623;TATTOO, FOREARM, LEFT - \"FREE MAN\";
M10623;TATTOO, HAND, LEFT - \"KNOWS\";
M10627;SCAR, HEAD, NONSPECIFIC - L HAND, L LEG (KNEE) GLASSES;
M10627;TATTOO, FOREARM, LEFT - \"OUTLAW\";
M10627;TATTOO, BACK - LAUGH NOW CRY LATER;
M10629;TATTOO, SHOULDER, LEFT - H;
M10629;TATTOO, LEG, RIGHT - HEART W/MOM;
M10629;TATTOO, WRIST, LEFT - TIMES;
M10629;TATTOO, WRIST, RIGHT - HARD,LOYALTY;
M10629;TATTOO, SHOULDER, RIGHT - S   (TAT FACE-G);
M10631;TATTOO, FOREARM, LEFT - MICROPHONE    NECK-SIGNATURE;
M10631;TATTOO, CHEST - ARABIC WRITING;
M10631;TATTOO, ARM, RIGHT UPPER - N MP/BUTCH JANET;
M10631;TATTOO, FOREARM, RIGHT - TRIBAL/CHICAGO;
M10635;NONE RECORDED;
M10644;NONE RECORDED;
M10659;TATTOO, ARM, RIGHT - \"FOLLY\";
M10659;TATTOO, NECK - \"BOBBY BOYZ\";
M10659;TATTOO, FOREARM, LEFT - POO POO\; LOVE MOM,MASKS,OTHERS C;
M10659;TATTOO, ARM, LEFT UPPER - FALONDA,ONLY GOD CAN JUDGE,;
M10659;TATTOO, ARM, LEFT - EMMA WEBBS,07/03/1953,3/12/2003;
M10661;NONE RECORDED;
M10664;TATTOO, ARM, RIGHT UPPER - PRAYING HANDS SCORPION;
M10664;TATTOO, FOREARM, RIGHT - \"TAEVON\" \"TYSEAN\";
M10664;TATTOO, ARM, LEFT UPPER - \"TIYON\" TRIBAL;
M10664;TATTOO, BACK - TWO FACES LOVE ME HATE ME;
M10664;TATTOO, FOREARM, LEFT - CROSS \"KEVA\" \"BITHIA\";
M10668;NONE RECORDED;
M10674;TATTOO, NECK - DUCKKY,LIPS, \"BAYLEY\", HEART W/H;
M10674;TATTOO, FOREARM, RIGHT - 815,TRIBAL,GET RICH OR DIE TRYIN;
M10674;TATTOO, HAND, LEFT - MOM,SWASTIKA (CHEST)D ROSARY CRO;
M10674;TATTOO, FOREARM, LEFT - TRIBAL,BLEGEN,BNB,SIERRA,JESSE;
M10674;TATTOO, HAND, RIGHT - DAD,D P-FORK, (FNGS)MLD;
M10677;NONE RECORDED;
M10680;TATTOO, FOREARM, RIGHT - \"TONYA,CLOUDS,HALO,2 BIRDS;
M10688;TATTOO, BACK - SHABAZZ;
M10688;TATTOO, NECK - WRITING;
M10688;TATTOO, ARM, RIGHT - RIP/MADE;
M10688;TATTOO, ARM, LEFT - RATED GOON/MAN;
M10700;TATTOO, FOREARM, RIGHT - CROSS RIP CARAIG L.EYE:REY;
M10705;TATTOO, FOREARM, RIGHT - \"T\",PRAYING HANDS,\"KRISTEN\";
M10705;TATTOO, FOREARM, LEFT - \"J\",MICKEY,\"TURNER\";
M10705;TATTOO, ARM, RIGHT UPPER - SCROLL;
M10705;TATTOO, NECK - \"JDM\";
M10705;SCAR, ARM, RIGHT UPPER - GLASSES;
M10708;NONE RECORDED;
M10709;TATTOO, HAND, LEFT - \"KING\";
M10709;TATTOO, CHEST - \"REGINA\";
M10709;TATTOO, FOREARM, RIGHT - \"7-31-15\";
M10710;NONE RECORDED;
M10713;TATTOO, LEG, RIGHT - PARROT, PLAYBOY BUNNY, FACE;
M10713;TATTOO, LEG, LEFT - TIGER, ROSE;
M10713;TATTOO, ARM, RIGHT - MAN, SKULL, PRAYING HANDS, RIBBO;
M10713;TATTOO, CHEST - CROSS, VIRGIN MARY, ALEMAN, DEMO;
M10713;TATTOO, ARM, LEFT - SEVERAL LADIES FACES, TEDDY BEAR;
M10715;TATTOO, NECK - \"AARON JR.\";
M10715;TATTOO, LEG, RIGHT - AMC;
M10715;TATTOO, ARM, LEFT - FULL SLEEVE;
M10715;TATTOO, ARM, LEFT - FULL SLEEVE;
M10719;NONE RECORDED;
M10726;TATTOO, FOOT, RIGHT - TWO 5 POINT STARS, 1/2 STAR;
M10726;TATTOO, WRIST, RIGHT - CHICAGO SKYLINE;
M10732;SCAR, FACE, NONSPECIFIC - SCAR BY MOUTH;
M10750;TATTOO, ARM, LEFT UPPER - CROSS RIBBON NAMES;
M10753;NONE RECORDED;
M10754;TATTOO, ARM, RIGHT UPPER - JUSTIN;
M10754;TATTOO, CHEST - \"Charity\";
M10761;NONE RECORDED;
M10764;NONE RECORDED;
M10768;TATTOO, FOREARM, LEFT - M-DUBB;
M10768;TATTOO, ARM, RIGHT UPPER - DOMINIQUE;
M10768;TATTOO, HAND, LEFT - 5PT STAR;
M10769;TATTOO, HAND, LEFT - \"NENE\";
M10772;NONE RECORDED;
M10779;NONE RECORDED;
M10791;NONE RECORDED;
M10793;TATTOO, FOREARM, RIGHT - \"EVERGREEN\";
M10793;TATTOO, FOREARM, RIGHT - \"NA'RIAH-N-RICKITA\"/HALO;
M10793;TATTOO, FOREARM, LEFT - PRAYING HANDS;
M10793;TATTOO, FOREARM, LEFT - \"BEVELY\"/CROSS/\"BERNICE\";
M10794;TATTOO, CHEST - ERICA;
M10794;TATTOO, ARM, RIGHT - PRAYING HANDS W/ ROSARY AND ROSE;
M10799;NONE RECORDED;
M10801;TATTOO, ARM, RIGHT - TROY;
M10803;SCAR, BACK - 6 bullets wounds in back;
M10803;TATTOO, ARM, RIGHT - \"fatty 1st love\";
M10810;TATTOO, CHEST - \"RIP lil walt\", \"RIP blood\";
M10810;TATTOO, ARM, RIGHT - \"TANK DOG C OUTLAW\";
M10810;TATTOO, ARM, LEFT - PRAYING HANDS;
M10810;TATTOO, ARM, LEFT - \"RIP TONE BONE 1987-2006\";
M10815;TATTOO, ARM, LEFT - CROSS RIP \"FACE EASY MAW\";
M10815;TATTOO, ARM, LEFT UPPER - 6 PT STAR BOS;
M10815;TATTOO, BACK - HALF HORSE/HALF MAN;
M10815;TATTOO, CHEST - HEART;
M10815;TATTOO, ARM, RIGHT - TRIBAL/SKULL;
M10818;NONE RECORDED;
M10819;TATTOO, ABDOMEN - GORILLA;
M10819;TATTOO, CHEST - \"I MAKE THE STREETS\";
M10819;TATTOO, FOREARM, RIGHT - \"CHI RAK\";
M10819;TATTOO, ARM, RIGHT - SKELETON MAN W/ GUNS;
M10829;TATTOO, HAND, LEFT - \"G\";
M10829;TATTOO, BACK - \"LK\"/CROWN;
M10829;TATTOO, FOREARM, RIGHT - \"L\" \; SCAR CHEST: GUNSHOT;
M10829;TATTOO, FINGER(S), LEFT HAND - 3DOTS;
